Title,Description,Days,Platform,City,State,Job_type
Business Analyst,"• Drives Global Solutions on SAP FI, Tax (Direct & Indirect) & OneSource requirements from a functional design perspective across.
• Work with Process Experts / Process Excellence Team, IT Advisors and Product Managers for streamlined delivery on Tax L&F Requirements
• Drives solutions in Lightly Managed applications across cloud platforms.
• Drives solutions on Native SAP tax solutions on Indirect tax determination and reporting.
• Drives solution on Global E-invoice solution development & Compliance Reporting
• Work with Project managers in designing solution & effort estimations
• Coordinate change management & Release management teams and collaborate in ServiceNow & HPQC.
• Work with Stakeholders in requirement gathering & convert them in to solutions.
• Run a quality assessment with peers drive individually.
• Work with stakeholders and lead requirement gathering sessions.
• Contributes to/supervises the development of the Functional Specifications from a technical design... perspective.
• Develops or supervises design/solution development for reports, interfaces, enhancements, and forms of all complexities.
• Works closely with Design Leads and Application Delivery Leads to ensure that new capabilities are understood and applied in new work items.
• Assists in the resolution of Production issues in meetings with Support Organization.
• Perform Prototyping in support of requirements definition or functional/technical design questions.
• Perform review of tax checks on Unit Testing, Integration Testing, and support User queries on User Acceptance Testing as needed.
• Resolve defects/issues during test cycles and post project go-live support.
• Help Senior Business Analyst in creating run books and participate in run book peer reviews.
• Prepare Audit and Compliance reporting requirements",3, Shell Careers,Bengaluru, Karnataka,Full-time
Senior Business Data Analyst,"Title: Business Data Analyst

Location: Remote

Techolution is looking out for a detailed oriented Business Data Analyst who will be responsible for identifying and then prioritizing technical and functional requirements, Acting as the key interface between the users, performing detailed requirements analysis, documenting processes and performing user acceptance testing. You should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users.

This position will directly contribute to the WoW customer experience by consistently delivering excellent customer care and support service that reflects an intelligently run, smooth operation. Our ideal candidate enjoys a work environment that requires strong problem-solving skills and communication, independent self-direction, coupled with an aptitude for team collaboration and extra flexible.

Title: Business Data Analyst

Location: Remote

Please note that we are looking for immediate joiners... only.

Roles & Responsibilities:
• To study and analyze user requirements, so as to prepare detailed functional specifications and related documents by engaging internal stakeholders to meet the project timeline.
• To prepare project documentation conforming to standards and procedures
• Should have excellent understanding of drafting Business Requirement Documents (BRD) and Functional Requirements Documents (FRD).
• Work with the delivery team to deliver the system according to specification as well as track the tasks assigned to the team in meeting project schedule, quality and within project budget.
• To perform extensive application testing including functional and interfaces, etc from test strategy, test planning, design, execution and management of test program and problem resolution.
• To support user acceptance testing such as problem resolution, tracking, escalation and closure.
• To execute implementation activities and support post implementation.
• Promote transparency and team empowerment across teams with positivity..

Eligibility and Mandatory Skills:
• Bachelor Degree / Diploma in Computer Science, Engineering or a related discipline
• Min. 4 to 6 years of related experiences
• Hands-on expertise in Data analysis tool like Power BI/Tableau/GDS/Looker
• Sound knowledge on SQL Programming language
• Self driven and Idealist
• Should be an Effective business communicator.

Why Join Techolution?

Be part of the next most admired high tech brand in the world and launch the next most exciting billion-dollar IPO. We are looking for talent with amazing technical skills with a great foundation for the open role. The type of personalities that do very well at our company are people who are looking to contribute to a larger than life cause. People who are looking for a very high growth environment where they are helping the company grow and also personally growing through a very unique and world-class exposure.

Work-Life at Techolution:

At Techolution, we do things a bit differently. There's no corporate nonsense, and no old-fashioned hierarchy. Instead, we work in dozens of self-sufficient, autonomous teams. Think of them like start-ups within a start-up that learn from each other. You are your own boss! We're going to be upfront that the way we work doesn't suit everyone. But if freedom, autonomy, and life-affirming, head-scratching professional challenges rock your world, we could be a match made in heaven.

About Techolution:

Techolution is a hightech consulting company on a mission to accelerate digital transformation for our clients across the globe. We are a very successful start-up that is small enough to care and large enough to be trusted by some of the top brands in the world such as Apple, JPMC, DBS Bank, NBC, Stryker, JCrew, etc. Techolution specializes in UI Modernization, Cloud Transformation, Internet of Things, Big Data & Artificial Intelligence. As a testament to the power of HVPD, we have developed a wealth of world-class products, owned by Techolution, in the space of Virtual Reality, Facial Recognition, Smart Water Monitoring, and many more cutting edge digital products in the pipeline.

Techolution currently serves clients across the United States with our headquarters in the heart of downtown New York City. We recently opened “Techolution City” in India as our offshore development center as a living and breathing lab for our IoT Smart City products. Techolution also serves APAC customers from our Singapore office and the Mauritius office supports our initiatives on African content",22, LinkedIn,Anywhere,,Full-time
Business Analyst,"Greetings from TCS !!!

TCS India presents excellent opportunities for IT professionals.

Role :- Business Analyst

Experience:- Min 6+ yrs of Exp in Business Analysis with Banking/Payments Domain

Location- Pune

Required Skill Set:- Banking/Payments Domain

Must-Have:-
• Requirement Gathering, Elicitation
• Experience to deal with senior business stakeholders
• Excellent knowledge of Banking & Financial services industry
• Knowledge and experience of working in Payments domain in areas like ISO 20022, SWIFT formats.
• Agile way of working

Good to have:-
• Should have experience to work closely with test team to define/validate test coverage

TCS Eligibility Criteria:
• BE/B.Tech/MCA/M.Sc/MS/MBA with minimum 6 years of relevant experience post Qualification.
• B.Sc Graduates with minimum 7+ years of relevant experience post qualification.
• Only Full Time courses would be considered.
• Consistent academic records class X onwards (Minimum 50%)",2, LinkedIn,Pune, Maharashtra,Full-time
Intermediate Business Analyst,"Job Purpose:

Intermediate Business Analyst for the core Asset Servicing application upgrades, lead phases of the project lifecycle for strategic, cross functional business initiatives. The main project will be around system implementation of a new target Asset Servicing processing platform. Additional projects may involve: process optimisation, risk mitigation, regulatory mandates and operating model re-engineering.

Job Background/context:

Securities Services Operations comprises of multiple operations groups supporting our Custody (Global and Direct), Fund Accounting, Transfer Agency, Securities Lending and Issuer Services businesses.

The individual will have a strong operational focus and will provide an integrated value-added service to our clients.

The role will require the successful candidate to form effective working relationships with all stakeholders – Technology, Product, Market Management, Processing teams, Coverage teams, etc. ensuring that some key project... deliverables are met. The successful candidate will be required to have a strong and detailed understanding of end-to-end operations and act as the client advocate.

He/she will be required to interface with internal stakeholders at a senior level, acting as escalation point as well as a strategic business partner.

Key Responsibilities:
• Play key role in project governance, organisation, delivery, planning and control, and risk and issue management.
• Understanding the Operating Model to be able to advise all stakeholders on the impact of any change of the model.
• Assist the Project Manager and Senior Business Analyst with the co-ordination of release planning, execution and post-implementation review
• Working with technology and product colleagues to develop a robust, stable and scalable solution.
• Create Business Requirement Documents and support testing of solutions.
• Create Business Scenarios for testing through own knowledge and leveraging the knowledge of Operations specialists
• Leading BRD and FRD walkthroughs with multiple stakeholders
• Ensure testers have the requisite knowledge to execute testing and provide training where gaps exist
• Ensure all solutions are appropriately documented and communicated to impacted parties.
• Ensure that core Operations staff ready for the implementation.
• Work with the Project Manager and Senior Business Analyst to ensure all project documentation is in place, updated and in good order.
• Work with the Project Manager and Senior Business Analyst to communicate to stakeholders/senior management the status of a project.

Development Value:
• High visibility role with exposure to people at all levels, including senior management interaction in various business areas
• Opportunity to develop a network and build relationships across the organisation
• Involvement in Global strategic initiatives
• To further develop business analysis capabilities
• To develop strategic planning and improved decision making skills

Qualifications

Knowledge/Experience:
• Extensive knowledge of Asset Servicing and Custody products
• Proven Business Analysis experience
• Moderate testing experience

Skills:
• Extensive Asset Servicing business knowledge
• Some Business Analysis experience
• Analytical skills
• Good attention to detail, excellent organisational skills.
• Proven ability to operate and deliver to deadlines.
• Lean and Agile experience

Qualifications:
• Primary Degree or Equivalent.
• Advanced computer skills (MS office suite applications)

Competencies:
• Innovative
• Team and Leadership Skills
• Ability to communicate effectively at all levels of the organization
• Self motivated
• Ability to establish credibility with senior managers.
• Excellent communication, interaction and influencing skills.
• Moderate presentation and facilitating skills.
• Ability to engage successfully in multiple initiatives simultaneously.
• Ability to successfully react/lead workload volatility
• Must be able to work under pressure; managing tight deadlines and conflicting priorities

-------------------------------------------------

Job Family Group:
Operations - Transaction Services

-------------------------------------------------

Job Family:
Asset Servicing

------------------------------------------------------

Time Type:
Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting",26, Jobs And Careers At Citi,Pune, Maharashtra,Full-time
Business Analyst,"Business Analyst

The ideal candidate will have 7 to 10 years of IT experience as Business Analyst. The Business Analyst would be techno-functional who understands business requirements and transposes them to software requirements ensuring quality deliveries within a cross functional collaborative team.

Job Responsibilities:

• Excellent problem-solving skills, with the ability to provide innovative and practical solutions.

• Strong written and verbal communication skills with a precise talent for articulating customer challenges.

• Support Product Owners to translate product strategies consistent with product vision into business and software requirements.

• Collect and analyze feedback from end users, stakeholders and other teams to shape requirements, features and end products.

• Produce and review product requirements documents (PRD) that may include epics, features and user stories.

• Make creative recommendations to expand product base and vision.

• Suggest ways to track... product use and impact on end users. Must be comfortable imagining user journeys.

• Understanding of the educational digital marketplace, competing digital products, and how to build competitive digital products and services for international healthcare market.

• Ability to articulate clearly and effectively technical and functional issues to a wide range of stakeholders.

• Works closely with product owners / solution stakeholders / Design and Development teams to review and evaluate requirements and prioritize them.

Qualifications:

• Prior experience in Business/Systems Analysis or Quality Assurance

• 3-5 years of experience in IT as a Business Analyst (Agile and SAFe)

• Excellent communication skills written and verbal.

• Exposure to healthcare/Education domain is desirable.

• Proficient in using team collaborative tools such as Jira, Confluence etc",2, LinkedIn,Bengaluru, Karnataka,Full-time
Business Analyst,"Join us as a Business Analyst
• Take on a critical role supporting the bank to achieve customer advocacy by eliciting and understanding the internal and external technology customer needs
• You'll be working in a vibrant, forward looking team and helping us to shape the future of our business
• It’s a great chance to hit the ground running, take advantage of our development opportunities, and advance your career
• This role is available at vice president level

What you'll do

In your new role, you’ll be producing business requirements to inform future state design, supporting teams in understanding the requirements and their linkages to the overall domain strategy. In the course of your work, we’ll also look to you to build, manage and maintain a positive working relationship with stakeholders and third party suppliers across multiple franchises and functions.

You’ll also be:
• Supporting others to articulate the ideas and requirements in the format required by the team, such as use... cases, user journeys, user stories and illustrations
• Capturing, validating and documenting business and system requirements and making sure that they’re in line with key strategic principles
• Interacting with customers, key stakeholders and the team to obtain and document functional and non-functional needs
• Analysing existing system documentation to summarise existing system functionality as it relates to the work at hand
• Supporting the identification of team priorities based upon feedback from the customers, key stakeholders and the team

The skills you'll need

We’ll look to you to bring a good understanding of Agile values, principles and methodologies with experience of working within an Agile environment. Additionally, you’ll need to hold an appropriate business analyst certification.

Along with at least 10 years' experience in payments using SWIFT FileAct Messages, you'll have an understanding of the elicitation of requirements, technical analysis, and implementation. You'll also have knowledge of middleware interfacing products and protocols such as MQ and Connect Direct, Sterling Integrator, and SWIFT for capturing non-functional requirements.

As well as this, you'll need:
• Experience of applying business analysis tools and techniques
• Good communication skills, with the ability to communicate complex technical concepts clearly to your peers and management level colleagues
• Good collaboration and stakeholder management skills",6, NatWest Group Careers,Chennai, Tamil Nadu,Part-time
Lead Business Analyst,"Formulates and defines system's scope and objectives based on both user needs and a good understanding of the application, business, operational and/or industry requirements. Develops business requirements and functional specifications for medium to large sized projects. Formulates and defines project scope, objectives, constraints and assumptions using existing documented processes based upon user needs as well as a thorough knowledge of the application, business, operations and industry. Collects and defines requirements, translates into functional design, test planning, and user documentation processes. Provides advice to internal business groups on process improvement projects by analyzing business process flows and identifying changes. May also provide guidance in this area to less experienced business analysts. Gathers and analyzes information and provides recommendations to address and resolve business issues for a specific business group. Applies experiences with existing... software and/or systems development processes to develop better processes to be used in the future. Actively influences software development process improvement initiatives. Provides technical consultation concerning business implications of application development projects. Participates in software and/or systems design/ prototyping, construction and testing of new or enhanced applications and/or systems. Contributes to the achievement of related teams' objectives. Bachelor's degree in business management or a related discipline, or equivalent work experience required, advanced degree preferred, 4-6 years of experience in a business analyst environment required, experience in the securities or financial services industry is a plus.. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals with Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.

BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals With Disabilities/Protected Veterans.

Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums",3, Eightfold,Chennai, Tamil Nadu,Full-time
Business Analyst II,"At ICON, it’s our people that set us apart. Our diverse teams enable us to become a better partner to our customers and help us to fulfil our mission to advance and improve patients’ lives.

Our ‘Own It’ culture is driven by four key values that bring us together as individuals and set us apart as an organisation: Accountability & Delivery, Collaboration, Partnership and Integrity. We want to be the Clinical Research Organisation that delivers excellence to our clients and to patients at every touchpoint. In short, to be the partner of choice in drug development.

That’s our vision. We’re driven by it. And we need talented people who share it.
If you’re as driven as we are, join us. You’ll be working in a dynamic and supportive environment, with some of the brightest and the friendliest people in the sector, and you’ll be helping shape an industry.

What you need
• 6+ years of experience in business analyst or similar role by function.
• Experience and demonstrated expertise with... relational and non-relational databases.
• Experience in a Client Service business and/or client facing role
• Should have Integration experience across core systems API-based integration, File based data transfer.
• Manage the tools used for system requirements management tracking.
• Provide IT with a complete understanding of the assigned functional areas.
• Review and edit requirements as needed.
• Chart new and proposed process flows.
• Manage requirements database and process maps.
• Maintain the status of requirements in the Requirements Management Database.
• Analyze current processes and present new applications/modules to development teams.
• Expertise in data profiling, mapping and/or analytics.
• Proficient with MS Office applications (e.g. Visio, Word, Excel, Power Point, etc.) with exceptional.

Benefits of Working in ICON:
Our success depends on the quality of our people. That’s why we’ve made it a priority to build a culture that rewards high performance and nurtures talent.

We offer very competitive salary packages. And to keep them competitive, we regularly benchmark them against our competitors. Our annual bonuses reflect delivery of performance goals – both ours and yours.
We also provide a range of health-related benefits to employees and their families and offer competitive retirement plans – and related benefits such as life assurance – so you can save and plan with confidence for the years ahead.
But beyond the competitive salaries and comprehensive benefits, you’ll benefit from an environment where you are encouraged to fulfil your sense of purpose and drive lasting change.

ICON is an equal opportunity and inclusive employer and is committed to providing a workplace free of discrimination and harassment. All qualified applicants will receive equal consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, or in order to perform the essential functions of a position, please let us know through the form below.

#LI-GN1",0, ICON Careers - ICON Plc,Chennai, Tamil Nadu,Full-time
Business Analyst,"Not Applicable

Qualification:
Not Applicable

Responsibility:
Not Applicable

Must Have Skills
• Business Scorecard
• MS Excel
• Business Services",5, Cognizant Jobs,Chennai, Tamil Nadu,Full-time
Business Analyst – Investment Banking-Manager,"Job Description

Job Title

Business Analyst-Investment Banking-Manager

Role Summary

&

Role Description

Job Description

Global markets Technology is looking for functional expert who can help large multi-year transformational project.

The work would involve understanding current book of records and trading applications that are in legacy technologies, and help guide the team to modernize into latest technologies.

Role would be focused in understanding new functional enhancements needed for the business, understand existing application and drive the Agile team to build out micro services based applications.

The candidate would have opportunity to learn and work world’s leading Securities lending platform offered by State Street to the institutional clients in 40+ global markets.

Defines business/system requirements by facilitating user meetings and interviewing users, developing use cases, working with SQL queries and researching and resolving issues.

Participates in business... analysis by documenting very low level specifications and preparing project documentation.

Analyzes current processes and recommends solutions and improved processes. Provides technical and business knowledge to various stakeholders. Working with multiple teams to get the required functionality done. Working in Agile environment is a must and Interact with Onsite PO and work on the analysis in coordination with the team and Business users.

The target system is a data warehouse application used for various financial reporting and persisting various functional data which includes in depth Business analysis, user/stakeholder JAD sessions with robust Data analytical skills under Oracle SQL platform within Securities lending business domain.

Must Have

Should have deep domain knowledge in Capital Markets

Should possess excellent communication and collaboration skills.

Should be able to independently lead India Agile team and help with the clarifications, demos, domain expertise

Will be required to overlap with US teams, work timings would be 12pm IST to 9pm IST

Should have experience in working as BA / proxy-product owner

Core/Must have skills

Investment Banking and Capital Markets

SQL Skills

Agile experience with stories creation

Good to have skills

Securities Lending

Work Schedule

Hybrid, 2-3 days working from Office

Working hours : 12 PM IST to 9 PM IST

Keywords (If any)

Invesment Banking

Capital Markets

Securities Lending

Why this role is important to us

Our technology function, Global Technology Services (GTS), is vital to State Street and is the key enabler for our business to deliver data and insights to our clients. We’re driving the company’s digital transformation and expanding business capabilities using industry best practices and advanced technologies such as cloud, artificial intelligence and robotics process automation.

We offer a collaborative environment where technology skills and innovation are valued in a global organization. We’re looking for top technical talent to join our team and deliver creative technology solutions that help us become an end-to-end, next-generation financial services company.

Join us if you want to grow your technical skills, solve real problems and make your mark on our industry.

About State Street

What we do. State Street is one of the largest custodian banks, asset managers and asset intelligence companies in the world. From technology to product innovation, we’re making our mark on the financial services industry. For more than two centuries, we’ve been helping our clients safeguard and steward the investments of millions of people. We provide investment servicing, data & analytics, investment research & trading and investment management to institutional clients.

Work, Live and Grow. We make all efforts to create a great work environment. Our benefits packages are competitive and comprehensive. Details vary by location, but you may expect generous medical care, insurance and savings plans, among other perks. You’ll have access to flexible Work Programs to help you match your needs. And our wealth of development programs and educational support will help you reach your full potential.

Inclusion, Diversity and Social Responsibility. We truly believe our employees’ diverse backgrounds, experiences and perspectives are a powerful contributor to creating an inclusive environment where everyone can thrive and reach their maximum potential while adding value to both our organization and our clients. We warmly welcome candidates of diverse origin, background, ability, age, sexual orientation, gender identity and personality. Another fundamental value at State Street is active engagement with our communities around the world, both as a partner and a leader. You will have tools to help balance your professional and personal life, paid volunteer days, matching gift programs and access to employee networks that help you stay connected to what matters to you.

State Street is an equal opportunity and affirmative action employer.

Job ID: R-723342",1, LinkedIn,Hyderabad, Telangana,Full-time
